date,rate_new,rate_old,delta_bp,direction,n_chars,n_words,signal_sentence,url
2019-10-25,6.5,7.0,-50,down,7706,985,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров.,https://www.cbr.ru/press/pr/?file=25102019_133000key.htm
2019-12-13,6.25,6.5,-25,down,7823,1009,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки в первом полугодии 2020 года.,https://www.cbr.ru/press/pr/?file=13122019_133000key.htm
2020-02-07,6.0,6.25,-25,down,7765,986,"Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=07022020_133000key.htm
2020-03-20,6.0,6.0,0,hold,5385,697,"В дальнейшем Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=20032020_133000key.htm
2020-04-24,5.5,6.0,-50,down,6526,868,"Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=24042020_133000key.htm
2020-06-19,4.5,5.5,-100,down,6168,798,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=19062020_133000key.htm
2020-07-24,4.25,4.5,-25,down,7828,1011,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=24072020_133000key.htm
2020-09-18,4.25,4.25,0,hold,7544,941,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=18092020_133000key.htm
2020-10-23,4.25,4.25,0,hold,7954,1013,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=23102020_133000key.htm
2020-12-18,4.25,4.25,0,hold,8157,1053,С учетом высокой неоднородности текущих тенденций в экономике и динамике цен Банк России будет оценивать дальнейшее развитие ситуации и наличие потенциала дополнительного снижения ключевой ставки.,https://www.cbr.ru/press/pr/?file=18122020_133000key.htm
2021-02-12,4.25,4.25,0,hold,9770,1233,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет определять сроки и темпы возврата к нейтральной денежно-кредитной политике, принимая во внимание по-прежнему высокую неоднородность текущих тенденций в экономике и динамике цен и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=12022021_133000key.htm
2021-03-19,4.5,4.25,25,up,7739,960,"При принятии решений по ключевой ставке Банк России будет учитывать, насколько прекращение действия указанных антикризисных мер будет влиять на денежно-кредитные условия.",https://www.cbr.ru/press/pr/?file=19032021_133000key.htm
2021-04-23,5.0,4.5,50,up,8527,1076,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=23042021_133000key.htm
2021-06-11,5.5,5.0,50,up,7810,983,В условиях проводимой денежно-кредитной политики годовая инфляция вернется к цели Банка России во втором полугодии 2022 года и будет находиться вблизи 4% в дальнейшем.,https://www.cbr.ru/press/pr/?file=11062021_133000key.htm
2021-07-23,6.5,5.5,100,up,8193,1052,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=23072021_133000key.htm
2021-09-10,6.75,6.5,25,up,7918,996,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=10092021_133000key.htm
2021-10-22,7.5,6.75,75,up,8661,1097,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=22102021_133000key.htm
2021-12-17,8.5,7.5,100,up,8072,1016,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=17122021_133000key.htm
2022-02-11,9.5,8.5,100,up,8736,1104,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=11022022_133000key.htm
2022-02-28,20.0,9.5,1050,up,727,95,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий и реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте.",https://www.cbr.ru/press/pr/?file=28022022_094500key.htm
2022-04-08,17.0,20.0,-300,down,1397,178,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий, реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте и допускает возможность продолжения снижения ключевой ставки на ближайших заседаниях.",https://www.cbr.ru/press/pr/?file=08042022_114000key.htm
2022-04-29,14.0,17.0,-300,down,6340,824,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=29042022_133000key.htm
2022-05-26,11.0,14.0,-300,down,1450,189,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков, и допускает возможность снижения ключевой ставки на ближайших заседаниях.",https://www.cbr.ru/press/pr/?file=26052022_103000key.htm
