date,direction_actual,delta_bp,rate_new,n_fg_candidates,modality,modality_weight,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,hedges,cond_count,conditionals,nominalization_ratio,finite_verbs,verbal_nouns,commitment,hardness_v2,stance,n_words,signal_core
2020-09-18,hold,0,4.25,5,delayed_evaluation,0.35,down,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.667,2,4,0.222,-0.222,-0.155,941,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.
2020-10-23,hold,0,4.25,5,delayed_evaluation,0.35,down,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.667,2,4,0.222,-0.222,-0.155,1013,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях.
2020-12-18,hold,0,4.25,5,delayed_evaluation,0.35,down,none,0,1,0,0,0,,2,С учетом|с учетом,0.6,2,3,0.266,-0.266,-0.186,1053,С учетом высокой неоднородности текущих тенденций в экономике и динамике цен Банк России будет оценивать дальнейшее развитие ситуации и наличие потенциала дополнительного снижения ключевой ставки.
2021-02-12,hold,0,4.25,3,delayed_evaluation,0.35,none,none,1,1,0,0,0,,0,,0.333,4,2,0.402,0.0,0.0,1233,"При принятии решений по ключевой ставке Банк России будет оценивать, насколько прекращение действия указанных антикризисных мер будет влиять на денежно-кредитные условия."
2021-03-19,up,25,4.5,6,possibility,0.55,up,none,0,1,0,0,0,,0,,0.75,1,3,0.582,0.582,0.407,960,При этом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2021-04-23,up,50,5.0,5,delayed_evaluation,0.35,up,none,0,1,0,0,0,,1,с учетом,0.6,2,3,0.29,0.29,0.203,1076,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2021-06-11,up,50,5.5,4,agentless_passive,0.15,none,none,1,0,0,1,0,,1,с учетом,0.333,2,1,0.081,0.0,0.0,983,"Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2021-07-23,up,100,6.5,4,delayed_evaluation,0.35,up,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.667,2,4,0.222,0.222,0.155,1052,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2021-09-10,up,25,6.75,4,possibility,0.55,up,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.8,1,4,0.349,0.349,0.244,996,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях.
2021-10-22,up,75,7.5,4,possibility,0.55,up,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.8,1,4,0.349,0.349,0.244,1097,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях.
