date,url,status,size,title
2023-12-15,https://www.cbr.ru/press/pr/?file=15122023_133000key.htm,cached,48107,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 16,00% годовых | Банк России"
2024-02-16,https://www.cbr.ru/press/pr/?file=16022024_133000key.htm,cached,38806,"Банк России принял решение сохранить ключевую ставку на уровне 16,00% годовых | Банк России"
2024-03-22,https://www.cbr.ru/press/pr/?file=22032024_133000key.htm,cached,38732,"Банк России принял решение сохранить ключевую ставку на уровне 16,00% годовых | Банк России"
2024-04-26,https://www.cbr.ru/press/pr/?file=26042024_133000key.htm,cached,38850,"Банк России принял решение сохранить ключевую ставку на уровне 16,00% годовых | Банк России"
2024-06-07,https://www.cbr.ru/press/pr/?file=07062024_133000key.htm,cached,39869,"Банк России принял решение сохранить ключевую ставку на уровне 16,00% годовых | Банк России"
2024-07-26,https://www.cbr.ru/press/pr/?file=26072024_133000key.htm,cached,39566,"Банк России принял решение повысить ключевую ставку на 200 б.п., до 18,00% годовых | Банк России"
2024-09-13,https://www.cbr.ru/press/pr/?file=13092024_133000key.htm,cached,40650,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 19,00% годовых | Банк России"
2024-10-25,https://www.cbr.ru/press/pr/?file=25102024_133000key.htm,cached,39706,"Банк России принял решение повысить ключевую ставку на 200 б.п., до 21,00% годовых | Банк России"
2024-12-20,https://www.cbr.ru/press/pr/?file=20122024_133000key.htm,cached,41240,"Банк России принял решение сохранить ключевую ставку на уровне 21,00% годовых | Банк России"
2025-02-14,https://www.cbr.ru/press/pr/?file=14022025_133000key.htm,cached,41091,"Банк России принял решение сохранить ключевую ставку на уровне 21,00% годовых | Банк России"
2025-03-21,https://www.cbr.ru/press/pr/?file=21032025_133000key.htm,cached,41084,"Банк России принял решение сохранить ключевую ставку на уровне 21,00% годовых | Банк России"
2025-04-25,https://www.cbr.ru/press/pr/?file=25042025_133000key.htm,cached,40181,"Банк России принял решение сохранить ключевую ставку на уровне 21,00% годовых | Банк России"
2025-06-06,https://www.cbr.ru/press/pr/?file=06062025_133000key.htm,cached,39752,"Банк России принял решение снизить ключевую ставку на 100 б.п., до 20,00% годовых | Банк России"
2025-07-25,https://www.cbr.ru/press/pr/?file=25072025_133000key.htm,cached,40792,"Банк России принял решение снизить ключевую ставку на 200 б.п., до 18,00% годовых | Банк России"
2025-09-12,https://www.cbr.ru/press/pr/?file=12092025_133000key.htm,cached,40239,"Банк России принял решение снизить ключевую ставку на 100 б.п., до 17,00% годовых | Банк России"
2025-10-24,https://www.cbr.ru/press/pr/?file=24102025_133000key.htm,cached,41094,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 16,50% годовых | Банк России"
2025-12-19,https://www.cbr.ru/press/pr/?file=19122025_133000key.htm,cached,39215,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 16,00% годовых | Банк России"
2026-02-13,https://www.cbr.ru/press/pr/?file=13022026_133000key.htm,cached,40932,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 15,50% годовых | Банк России"
2026-03-20,https://www.cbr.ru/press/pr/?file=20032026_133000key.htm,cached,38009,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 15,00% годовых | Банк России"
2026-04-24,https://www.cbr.ru/press/pr/?file=24042026_133000key.htm,cached,39302,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 14,50% годовых | Банк России"
2026-06-19,https://www.cbr.ru/press/pr/?file=19062026_133000key.htm,cached,38623,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 14,25% годовых | Банк России"
2026-07-24,https://www.cbr.ru/press/pr/?file=24072026_133000key.htm,cached,40707,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 14,00% годовых | Банк России"
